id|parent_id|d_ats_type_id|rco|cato|name_kz|name_ru|actual
1||10|0003000000008718|100000000|Қазақстан|Казахстан|1
2|1|7|0003000000008682|550000000|Павлодар|Павлодарская|1
9|2|6|0003000000008638|551610000|Ақсу|Аксу|1
80|9|3|0003000000006726|551639000|Алғабас|Алгабасский|1
81|80|1|0003000000000002|551639200|Айнакөл|Айнаколь|1
90|80|1|0003000000000003|551639500|Сынтас|Сынтас|1
95|80|1|0003000000000004|551639400|Көктас|Коктас|1
100|80|1|0003000000000005|551639300|Қарабай|Карабай|1
104|80|1|0003000000000006|551639100|Алғабас|Алгабас|1
120|9|3|0003000000006727|551655000|Қалқаман|Калкаманский|1
121|120|1|0003000000000007|551655200|Ақжол|Акжол|1
143|9|3|0003000000006728|551643000|Достық|Достыкский|1
144|143|1|0003000000000008|551643500|Береке|Береке|1
205|143|1|0003000000000009|551643200|Төрт құдық|Торт кудук|1
214|143|1|0003000000000010|551643100|Достық|Достык|1
232|9|3|0003000000006729|551645000|Евгеньевка|Евгеньевский|1
233|232|1|0003000000000011|551645100|Евгеньевка|Евгеньевка|1
256|232|1|0003000000000012|551645300|Сольветка|Сольветка|1
268|333|1|0003000000000013|551653700|Еңбек|Енбек|1
295|80|1|0003000000000015|551639600|Жолқұдық|Жолкудук|1
322|80|1|0003000000000016|551639800|Ребровка|Ребровка|1
326|80|1|0003000000000017|551639700|Қаракөл|Караколь|1
333|9|3|0003000000006730|551653000|Мәмәйіт Омаров атындағы|Имени Мамаита Омарова|1
334|333|1|0003000000000018|551653100|Мәмәйіт Омаров атындағы|Имени Мамаита Омарова|1
358|333|1|0003000000000019|551653400|Көктерек|Коктерек|1
362|333|1|0003000000000020|551653500|Сырлықала|Сырлыкала|1
372|333|1|0003000000000021|551653200|Дөнентаев|Донентаево|1
377|120|1|0003000000000022|551655100|Қалқаман|Калкаман|1
431|9|3|0003000000006731|551659000|Қызылжар|Кызылжарский|1
432|431|1|0003000000000023|551659100|Қызылжар|Кызылжар|1
453|431|1|0003000000000024|551659200|Бөріктал|Борыктал|1
465|333|1|0003000000000025|551653600|Құркөл|Курколь|1
488|143|1|0003000000000026|551643600|Пограничник|Пограничник|1
502|143|38|0003000000008803|551643800|Спутник|Спутник|1
512|143|38|0003000000008804|551643700|Тасқұдық|Таскудык|1
516|232|1|0003000000000027|551645700|Үштерек|Уштерек|1
925|431|1|0003000000000028|551659300|Жаңашаруа|Жанашаруа|1
929|431|1|0003000000000029|551659500|Суаткөл|Суатколь|1
934|431|1|0003000000000030|551659400|Сарышығанақ|Сарышыганак|1
1313|2|6|0003000000008639|552210000|Екібастұз|Экибастуз|1
1315|1313|1|0003000000000031|552243100|Академик Әлкей Марғұлан атындағы|Имени академика Алькея Маргулана|1
1329|1313|3|0003000000006732|552233000|Ақкөл|Аккольский|1
1330|1329|1|0003000000000032|552233300|Зеленая Роща|Зеленая Роща|1
1331|1329|1|0003000000000033|552233100|Ақкөл|Акколь|1
1342|1329|1|0003000000000034|552233200|Жақсат|Жаксат|1
1353|246488|1|0003000000000035|552255100|Төртқұдық|Торткудук|1
1373|1975|1|0003000000000036|552244100|Бесқауға|Бескауга|1
1386|1516|1|0003000000000037|552237600|Тай|Тай|1
1392|1516|1|0003000000000038|552237700|Талдықамыс|Талдыкамыс|1
1394|1516|1|0003000000000039|552237500|Көксиыр|Коксиыр|1
1397|1313|3|0003000000006733|552239000|Теміржол|Железнодорожный|1
1398|1397|1|0003000000000040|552239100|Құлакөл|Кулаколь|1
1402|1397|1|0003000000000041|552239200|3 Бөлімше|Отделение 3|1
1407|1313|3|0003000000006734|552251000|Сарықамыс|Сарыкамысский|1
1408|1407|1|0003000000000042|552251100|Сарықамыс|Сарыкамыс|1
1416|1407|1|0003000000000043|552251200|Қуандық|Куандык|1
1421|1313|3|0003000000006735|552235000|Байет|Байетский|1
1422|1421|1|0003000000000044|552235100|Байет|Байет|1
1450|1313|1|0003000000000045|552241100|Шиқылдақ|Шикылдак|1
1495|1397|1|0003000000000046|552239300|Кудайколь|Кудайколь|1
1508|1397|1|0003000000000047|552239400|Карасор|Карасор|1
1516|1313|3|0003000000006737|552237000|Екібастұз|Экибастузский|1
1517|1516|1|0003000000000048|552237100|Төртүй|Тортуй|1
1538|1516|1|0003000000000049|552237300|Мыңтомар|Мынтомар|1
1539|1516|1|0003000000000050|552237400|Қаражар|Каражар|1
1540|1516|1|0003000000000051|552237200|Ақши|Акши|1
1815|1313|2|0003000000006553|552253100|Солнечный|Солнечный|1
